Wavenumber(cm-1),Intensity
2.162593856655289983e+03,9.562383612662942456e-01
2.162457337883959099e+03,9.562383612662942456e-01
2.165870307167235296e+03,9.553072625698324494e-01
2.165733788395904412e+03,9.553072625698324494e-01
2.164300341296928309e+03,9.553072625698324494e-01
2.164095563139931528e+03,9.553072625698324494e-01
2.162593856655289983e+03,9.553072625698324494e-01
2.162457337883959099e+03,9.553072625698324494e-01
2.165938566552901193e+03,9.543761638733705421e-01
2.165733788395904412e+03,9.543761638733705421e-01
2.164300341296928309e+03,9.543761638733705421e-01
2.164095563139931528e+03,9.543761638733705421e-01
2.162593856655289983e+03,9.543761638733705421e-01
2.162457337883959099e+03,9.543761638733705421e-01
2.165938566552901193e+03,9.534450651769087459e-01
2.165733788395904412e+03,9.534450651769087459e-01
2.164300341296928309e+03,9.534450651769087459e-01
2.164095563139931528e+03,9.534450651769087459e-01
2.162593856655289983e+03,9.534450651769087459e-01
2.162457337883959099e+03,9.534450651769087459e-01
2.165938566552901193e+03,9.525139664804469497e-01
2.165733788395904412e+03,9.525139664804469497e-01
2.164300341296928309e+03,9.525139664804469497e-01
2.164095563139931528e+03,9.525139664804469497e-01
2.162593856655289983e+03,9.525139664804469497e-01
2.162457337883959099e+03,9.525139664804469497e-01
2.167440273037542738e+03,9.515828677839851535e-01
2.165938566552901193e+03,9.515828677839851535e-01
2.165733788395904412e+03,9.515828677839851535e-01
2.164300341296928309e+03,9.515828677839851535e-01
2.164095563139931528e+03,9.515828677839851535e-01
2.162593856655289983e+03,9.515828677839851535e-01
2.162457337883959099e+03,9.515828677839851535e-01
2.167372013651877296e+03,9.506517690875232462e-01
2.165938566552901193e+03,9.506517690875232462e-01
2.165733788395904412e+03,9.506517690875232462e-01
2.164300341296928309e+03,9.506517690875232462e-01
2.164095563139931528e+03,9.506517690875232462e-01
2.162593856655289983e+03,9.506517690875232462e-01
2.162457337883959099e+03,9.506517690875232462e-01
2.167372013651877296e+03,9.497206703910614500e-01
2.165938566552901193e+03,9.497206703910614500e-01
2.165733788395904412e+03,9.497206703910614500e-01
2.164300341296928309e+03,9.497206703910614500e-01
2.164095563139931528e+03,9.497206703910614500e-01
2.162593856655289983e+03,9.497206703910614500e-01
2.162457337883959099e+03,9.497206703910614500e-01
2.167372013651877296e+03,9.487895716945996538e-01
2.165938566552901193e+03,9.487895716945996538e-01
2.165733788395904412e+03,9.487895716945996538e-01
